name,price,image_url,category,availability,scraped_at,placeholder_url,potential_real_urls,real_image_path,has_real_image,local_image
Lovense Lush Mini,"KSh 26,000.00",product_images/Lovense_Lush_Mini.html,Lovense,In Stock,2025-09-08T01:50:31.406332,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Lush+Mini,"['https://romantix.co.ke/wp-content/uploads/products/lovense-lush-mini.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-lush-mini.jpg', 'https://romantix.co.ke/images/products/lovense-lush-mini.jpg', 'https://romantix.co.ke/uploads/lovense-lush-mini.jpg']",,False,True
Lovense 4K AI Webcam 2,"KSh 28,000.00",product_images/Lovense_4K_AI_Webcam_2.html,Lovense,In Stock,2025-09-08T01:50:31.407377,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+4K+AI+Webcam+2,"['https://romantix.co.ke/wp-content/uploads/products/lovense-4k-ai-webcam-2.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-4k-ai-webcam-2.jpg', 'https://romantix.co.ke/images/products/lovense-4k-ai-webcam-2.jpg', 'https://romantix.co.ke/uploads/lovense-4k-ai-webcam-2.jpg']",,False,True
Lovense Lush 4,"KSh 28,000.00",product_images/Lovense_Lush_4.html,Lovense,Out of Stock,2025-09-08T01:50:31.408200,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Lush+4,"['https://romantix.co.ke/wp-content/uploads/products/lovense-lush-4.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-lush-4.jpg', 'https://romantix.co.ke/images/products/lovense-lush-4.jpg', 'https://romantix.co.ke/uploads/lovense-lush-4.jpg']",,False,True
Lovense Edge 2,"KSh 22,000.00",product_images/Lovense_Edge_2.html,Lovense,In Stock,2025-09-08T01:50:31.409345,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Edge+2,"['https://romantix.co.ke/wp-content/uploads/products/lovense-edge-2.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-edge-2.jpg', 'https://romantix.co.ke/images/products/lovense-edge-2.jpg', 'https://romantix.co.ke/uploads/lovense-edge-2.jpg']",,False,True
Lovense Hush 2,"KSh 18,500.00",product_images/Lovense_Hush_2.html,Lovense,In Stock,2025-09-08T01:50:31.410453,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Hush+2,"['https://romantix.co.ke/wp-content/uploads/products/lovense-hush-2.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-hush-2.jpg', 'https://romantix.co.ke/images/products/lovense-hush-2.jpg', 'https://romantix.co.ke/uploads/lovense-hush-2.jpg']",,False,True
Lovense Ferri,"KSh 19,000.00",product_images/Lovense_Ferri.html,Lovense,In Stock,2025-09-08T01:50:31.411210,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Ferri,"['https://romantix.co.ke/wp-content/uploads/products/lovense-ferri.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-ferri.jpg', 'https://romantix.co.ke/images/products/lovense-ferri.jpg', 'https://romantix.co.ke/uploads/lovense-ferri.jpg']",,False,True
Lovense Max 2,"KSh 21,000.00",product_images/Lovense_Max_2.html,Lovense,In Stock,2025-09-08T01:50:31.412007,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Max+2,"['https://romantix.co.ke/wp-content/uploads/products/lovense-max-2.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-max-2.jpg', 'https://romantix.co.ke/images/products/lovense-max-2.jpg', 'https://romantix.co.ke/uploads/lovense-max-2.jpg']",,False,True
Lovense Nora,"KSh 24,000.00",product_images/Lovense_Nora.html,Lovense,Out of Stock,2025-09-08T01:50:31.412703,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Nora,"['https://romantix.co.ke/wp-content/uploads/products/lovense-nora.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-nora.jpg', 'https://romantix.co.ke/images/products/lovense-nora.jpg', 'https://romantix.co.ke/uploads/lovense-nora.jpg']",,False,True
Lovense Osci 2,"KSh 20,000.00",product_images/Lovense_Osci_2.html,Lovense,In Stock,2025-09-08T01:50:31.413951,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Osci+2,"['https://romantix.co.ke/wp-content/uploads/products/lovense-osci-2.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-osci-2.jpg', 'https://romantix.co.ke/images/products/lovense-osci-2.jpg', 'https://romantix.co.ke/uploads/lovense-osci-2.jpg']",,False,True
Lovense Domi 2,"KSh 18,000.00",product_images/Lovense_Domi_2.html,Lovense,In Stock,2025-09-08T01:50:31.414825,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Domi+2,"['https://romantix.co.ke/wp-content/uploads/products/lovense-domi-2.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-domi-2.jpg', 'https://romantix.co.ke/images/products/lovense-domi-2.jpg', 'https://romantix.co.ke/uploads/lovense-domi-2.jpg']",,False,True
